index,carat,cut,color,clarity,depth,table,length (mm),width (mm),height (mm),year
5682,0.85,Premium,F,VVS2,61.2,60.0,6.1,6.13,3.74,2022
5683,1.04,Ideal,E,SI1,62.0,57.0,6.47,6.5,4.02,2022
5684,1.06,Ideal,I,VS2,62.3,56.0,6.56,6.51,4.07,2022
5685,0.9,Very Good,G,VS2,63.2,58.0,6.11,6.17,3.88,2022
5686,0.9,Ideal,G,VS1,61.6,56.3,6.22,6.3,3.86,2022
5687,0.93,Very Good,E,SI1,63.1,57.0,6.19,6.17,3.9,2022
5688,1.02,Very Good,I,VS2,59.3,59.0,6.56,6.6,3.9,2022
5689,1.0,Very Good,E,SI2,63.2,56.0,6.33,6.36,4.01,2022
5690,1.11,Good,E,SI2,58.3,60.0,6.76,6.83,3.96,2022
5691,1.01,Premium,F,SI2,61.7,60.0,6.36,6.42,3.94,2022
5692,0.93,Very Good,F,SI1,61.1,58.0,6.26,6.3,3.84,2022
5693,0.96,Good,H,VS1,63.9,54.0,6.22,6.27,3.99,2022
5694,1.0,Good,E,SI1,63.5,62.0,6.27,6.4,4.02,2022
5695,1.13,Premium,I,SI1,61.8,59.0,6.65,6.68,4.12,2022
5696,1.08,Ideal,H,SI2,59.3,57.0,6.74,6.71,3.99,2022
5697,1.0,Premium,H,VS2,61.9,61.0,6.37,6.23,3.9,2022
5698,1.1,Ideal,H,SI2,62.6,56.0,6.57,6.65,4.14,2022
5699,1.13,Very Good,H,SI2,59.8,59.0,6.75,6.82,4.06,2022
5700,1.13,Very Good,H,SI2,62.5,62.0,6.59,6.66,4.14,2022
5701,0.93,Very Good,E,SI1,62.5,58.0,6.18,6.24,3.88,2022
5702,1.11,Ideal,H,SI2,63.5,60.0,6.58,6.49,4.15,2022
5703,1.11,Premium,H,SI2,59.8,60.0,6.75,6.66,4.01,2022
5704,1.01,Good,G,SI1,63.5,64.0,6.41,6.28,4.03,2022
5705,1.09,Premium,D,SI2,62.8,56.0,6.49,6.45,4.06,2022
5706,1.02,Ideal,H,SI1,61.6,57.0,6.43,6.5,3.98,2022
5707,0.9,Very Good,G,VS1,62.7,60.0,6.06,6.13,3.82,2022
5708,1.02,Very Good,E,SI2,63.3,58.0,6.31,6.4,4.02,2022
5709,1.01,Very Good,E,SI2,60.0,60.0,6.57,6.49,3.92,2022
5710,1.0,Good,D,SI2,64.5,59.0,6.25,6.31,4.05,2022
5711,1.06,Ideal,G,SI2,62.2,55.0,6.56,6.53,4.07,2022
5712,1.02,Premium,F,SI2,61.5,58.0,6.49,6.42,3.97,2022
5713,1.02,Premium,F,SI2,62.5,60.0,6.43,6.36,4.0,2022
5714,1.02,Premium,F,SI2,61.1,59.0,6.45,6.41,3.93,2022
5715,0.9,Very Good,G,VS2,62.7,59.0,6.09,6.16,3.84,2022
5716,0.91,Good,G,VVS2,64.1,58.0,6.06,6.1,3.9,2022
5717,1.0,Good,G,SI1,63.3,60.0,6.24,6.33,3.98,2022
5718,1.0,Very Good,D,SI2,61.6,58.0,6.37,6.45,3.95,2022
5719,1.0,Very Good,D,SI2,58.3,61.0,6.54,6.59,3.83,2022
5720,1.04,Premium,D,SI2,61.9,58.0,6.54,6.49,4.03,2022
5721,1.04,Ideal,I,SI1,62.6,56.0,6.55,6.48,4.08,2022
5722,1.04,Ideal,H,SI2,61.7,57.0,6.54,6.49,4.02,2022
5723,1.08,Ideal,G,SI2,61.9,57.0,6.55,6.57,4.06,2022
5724,1.03,Very Good,D,SI2,60.9,57.0,6.53,6.55,3.98,2022
5725,1.01,Good,E,SI1,63.5,58.0,6.28,6.35,4.01,2022
5726,0.93,Ideal,G,SI1,62.0,56.0,6.22,6.26,3.87,2022
5727,1.04,Ideal,F,SI2,61.8,56.0,6.49,6.53,4.02,2022
5728,0.73,Ideal,D,VVS2,62.0,53.6,5.76,5.8,3.59,2022
5729,1.06,Ideal,H,SI2,61.7,60.0,6.53,6.51,4.02,2022
5730,1.31,Premium,H,SI2,61.7,59.0,7.03,6.98,4.32,2022
5731,0.95,Ideal,G,VS2,61.6,56.0,6.34,6.3,3.89,2022
5732,1.01,Good,F,SI1,63.5,57.0,6.29,6.33,4.01,2022
5733,1.04,Ideal,J,VS2,61.3,54.0,6.53,6.55,4.01,2022
5734,1.05,Good,I,VS2,64.3,55.0,6.46,6.42,4.14,2022
5735,1.0,Ideal,G,SI2,62.0,53.0,6.42,6.45,3.99,2022
5736,1.26,Fair,I,SI2,64.8,57.0,6.73,6.69,4.35,2022
5737,1.02,Very Good,H,SI1,63.7,55.0,6.31,6.38,4.04,2022
5738,1.27,Good,H,SI2,63.6,58.0,6.82,6.74,4.31,2022
5739,1.28,Premium,J,SI2,62.3,58.0,6.89,6.94,4.31,2022
5740,0.87,Ideal,G,VS2,61.4,55.0,6.15,6.17,3.78,2022
5741,1.18,Fair,I,VS2,62.0,66.0,6.75,6.63,4.16,2022
5742,1.07,Fair,F,SI1,60.6,66.0,6.65,6.46,3.97,2022
5743,1.18,Premium,I,SI2,61.7,58.0,6.75,6.79,4.18,2022
5744,0.91,Very Good,D,SI1,62.8,59.0,6.17,6.21,3.89,2022
5745,1.13,Ideal,H,SI2,62.0,57.0,6.74,6.64,4.15,2022
5746,1.13,Ideal,H,SI1,61.3,57.0,6.72,6.7,4.11,2022
5747,1.04,Ideal,H,SI2,61.7,55.0,6.49,6.53,4.02,2022
5748,1.05,Premium,F,SI2,62.6,59.0,6.47,6.43,4.04,2022
5749,1.03,Premium,G,SI2,60.6,60.0,6.53,6.5,3.95,2022
5750,1.1,Premium,H,SI2,62.6,57.0,6.6,6.56,4.12,2022
5751,1.02,Ideal,H,SI1,61.8,57.0,6.48,6.41,3.98,2022
5752,1.02,Good,H,SI1,63.9,55.0,6.4,6.37,4.08,2022
5753,1.02,Premium,H,SI1,61.9,61.0,6.42,6.34,3.95,2022
5754,1.05,Premium,H,SI1,62.5,57.0,6.52,6.45,4.05,2022
5755,1.1,Premium,H,SI2,60.9,57.0,6.67,6.62,4.05,2022
5756,1.01,Good,H,SI1,63.3,58.0,6.37,6.4,4.04,2022
5757,1.01,Very Good,H,SI1,62.8,58.0,6.36,6.38,4.0,2022
5758,1.01,Premium,H,SI1,61.2,58.0,6.43,6.47,3.95,2022
5759,1.01,Good,H,SI1,60.3,64.0,6.5,6.53,3.93,2022
5760,1.01,Ideal,H,SI1,62.4,53.0,6.42,6.47,4.02,2022
5761,1.01,Premium,H,VS2,62.9,60.0,6.33,6.22,3.95,2022
5762,1.35,Ideal,G,I1,62.5,57.0,7.01,7.04,4.39,2022
5763,1.01,Ideal,G,SI2,61.6,54.0,6.4,6.45,3.96,2022
5764,1.05,Good,D,SI2,60.0,63.0,6.59,6.64,3.97,2022
5765,1.16,Ideal,I,SI2,62.6,56.0,6.73,6.68,4.2,2022
5766,0.97,Premium,F,SI1,62.7,59.0,6.28,6.31,3.95,2022
5767,1.1,Very Good,H,SI2,59.8,60.0,6.7,6.77,4.03,2022
5768,0.91,Very Good,D,SI1,60.8,60.0,6.24,6.21,3.79,2022
5769,1.05,Ideal,G,SI2,62.3,56.0,6.52,6.58,4.08,2022
5770,0.92,Ideal,D,SI1,62.2,56.0,6.23,6.27,3.89,2022
5771,1.01,Fair,F,SI1,65.9,60.0,6.25,6.17,4.09,2022
5772,1.22,Premium,I,VS2,61.6,59.0,6.86,6.81,4.21,2022
5773,1.01,Very Good,E,SI1,61.1,57.0,6.44,6.5,3.95,2022
5774,1.06,Ideal,H,SI2,60.9,56.0,6.58,6.63,4.02,2022
5775,1.01,Good,E,SI1,64.5,56.0,6.24,6.29,4.04,2022
5776,1.04,Very Good,H,SI1,62.8,57.0,6.44,6.48,4.06,2022
5777,1.01,Very Good,D,SI2,59.7,58.0,6.55,6.61,3.93,2022
5778,1.08,Ideal,H,SI2,61.2,57.4,6.57,6.63,4.04,2022
5779,1.0,Ideal,H,SI1,61.4,57.0,6.37,6.34,3.9,2022
5780,1.04,Fair,E,SI2,67.5,56.0,6.28,6.22,4.22,2022
5781,1.01,Good,E,SI2,60.2,60.0,6.37,6.42,3.85,2022
5782,0.91,Good,H,VS1,57.8,61.0,6.4,6.36,3.69,2022
5783,1.04,Premium,E,SI2,59.2,58.0,6.7,6.64,3.95,2022
5784,0.92,Ideal,H,VS2,62.2,55.0,6.21,6.27,3.88,2022
5785,1.0,Good,H,VS2,62.7,54.0,6.26,6.31,3.94,2022
5786,0.79,Very Good,E,VVS1,62.8,60.0,5.8,5.89,3.67,2022
5787,1.06,Very Good,E,SI2,61.7,62.0,6.5,6.54,4.02,2022
5788,1.02,Premium,F,SI2,62.5,57.0,6.47,6.43,4.03,2022
5789,1.12,Premium,H,SI1,62.0,56.0,6.69,6.59,4.13,2022
5790,1.15,Ideal,H,SI2,62.6,55.0,6.74,6.65,4.19,2022
5791,1.32,Good,J,SI1,63.5,57.0,6.95,6.98,4.42,2022
5792,1.03,Very Good,H,SI1,63.5,53.0,6.43,6.46,4.09,2022
5793,1.07,Premium,F,SI2,62.4,57.0,6.58,6.53,4.09,2022
5794,1.0,Very Good,H,SI1,62.4,58.0,6.37,6.42,3.99,2022
5795,1.01,Good,H,SI1,62.9,55.0,6.35,6.41,4.01,2022
5796,0.94,Ideal,D,SI1,62.3,57.0,6.24,6.29,3.9,2022
5797,1.01,Very Good,E,SI2,62.2,58.0,6.36,6.43,3.98,2022
5798,1.12,Very Good,H,SI1,63.1,56.0,6.62,6.59,4.17,2022
5799,1.02,Ideal,F,SI2,61.4,56.0,6.47,6.5,3.98,2022
5800,1.06,Ideal,G,SI2,61.0,57.0,6.56,6.61,4.02,2022
5801,1.11,Ideal,H,SI2,62.0,54.0,6.61,6.64,4.11,2022
5802,1.11,Premium,H,SI2,61.6,60.0,6.6,6.67,4.09,2022
5803,1.09,Premium,H,SI2,61.7,60.0,6.59,6.57,4.06,2022
5804,1.01,Premium,H,SI1,60.5,58.0,6.47,6.39,3.89,2022
5805,0.9,Very Good,D,SI1,62.5,59.0,6.11,6.15,3.83,2022
5806,0.9,Ideal,D,SI1,62.5,57.0,6.12,6.2,3.85,2022
5807,1.03,Premium,F,SI1,60.9,60.0,6.52,6.45,3.95,2022
5808,0.9,Premium,G,VS1,62.7,58.0,6.15,6.06,3.83,2022
5809,1.0,Very Good,E,SI2,63.3,58.0,6.35,6.32,4.01,2022
5810,0.9,Very Good,E,VS2,59.1,62.0,6.24,6.28,3.7,2022
5811,0.9,Very Good,E,VS2,62.2,59.0,6.13,6.18,3.83,2022
5812,0.9,Good,E,VS2,63.1,58.0,6.11,6.15,3.87,2022
5813,0.9,Very Good,E,VS2,62.9,57.0,6.16,6.18,3.88,2022
5814,1.03,Very Good,D,SI2,63.7,56.0,6.32,6.39,4.05,2022
5815,1.0,Ideal,H,SI2,62.0,55.0,6.39,6.43,3.98,2022
5816,0.94,Premium,E,SI1,62.4,56.0,6.27,6.24,3.9,2022
5817,1.11,Premium,E,SI2,62.5,58.0,6.61,6.63,4.14,2022
5818,1.01,Very Good,E,SI2,63.3,58.0,6.37,6.3,4.01,2022
5819,1.03,Ideal,G,SI2,61.8,55.0,6.46,6.51,4.01,2022
5820,1.03,Good,J,VS1,60.1,62.4,6.43,6.49,3.88,2022
5821,1.02,Premium,D,SI2,59.3,60.0,6.56,6.52,3.88,2022
5822,1.02,Very Good,D,SI2,58.6,63.0,6.56,6.54,3.84,2022
5823,1.09,Very Good,I,SI2,62.5,57.0,6.56,6.58,4.11,2022
5824,1.11,Very Good,H,SI2,59.0,59.0,6.79,6.82,4.02,2022
5825,0.9,Ideal,H,VS2,59.9,57.0,6.27,6.31,3.77,2022
5826,1.01,Ideal,I,SI1,62.4,56.0,6.36,6.4,3.98,2022
5827,1.03,Ideal,H,SI1,59.7,55.0,6.6,6.64,3.95,2022
5828,1.02,Ideal,E,SI2,62.7,57.0,6.35,6.44,4.01,2022
5829,1.09,Ideal,G,SI2,61.2,57.0,6.63,6.68,4.07,2022
5830,1.0,Good,F,SI1,63.6,62.0,6.3,6.24,3.99,2022
5831,0.32,Very Good,D,SI1,62.8,56.0,4.37,4.42,2.76,2022
5832,0.32,Premium,D,SI1,61.5,59.0,4.39,4.42,2.71,2022
5833,0.32,Good,D,SI1,63.1,57.0,4.37,4.38,2.76,2022
5834,0.32,Good,D,SI1,63.7,55.0,4.35,4.38,2.78,2022
5835,0.32,Very Good,D,SI1,62.8,56.0,4.34,4.35,2.73,2022
5836,0.32,Premium,D,SI1,61.3,60.0,4.41,4.43,2.71,2022
5837,0.32,Ideal,I,VVS1,62.5,55.0,4.37,4.4,2.74,2022
5838,0.32,Premium,D,SI1,60.4,58.0,4.44,4.47,2.69,2022
5839,0.32,Ideal,D,SI1,62.0,57.0,4.38,4.42,2.73,2022
5840,0.32,Ideal,I,VVS1,61.7,55.0,4.39,4.4,2.71,2022
5841,0.36,Premium,G,VS2,62.5,58.0,4.51,4.55,2.83,2022
5842,0.32,Good,D,SI1,63.5,55.0,4.31,4.35,2.75,2022
5843,0.32,Ideal,D,SI1,62.0,55.0,4.37,4.47,2.74,2022
5844,0.32,Very Good,D,SI1,58.9,60.0,4.47,4.49,2.64,2022
5845,0.32,Ideal,D,SI1,61.5,56.0,4.39,4.42,2.71,2022
5846,0.32,Good,D,SI1,63.3,57.0,4.37,4.38,2.77,2022
5847,1.0,Premium,F,SI1,61.4,60.0,6.38,6.35,3.91,2022
5848,0.9,Premium,D,VS2,63.0,62.0,6.13,6.06,3.84,2022
5849,1.17,Good,I,SI1,60.0,64.0,6.91,6.83,4.12,2022
5850,1.0,Good,F,SI1,64.1,60.0,6.25,6.19,3.99,2022
5851,1.03,Ideal,F,SI2,60.5,58.0,6.55,6.49,3.94,2022
5852,1.26,Premium,H,SI2,62.0,56.0,6.92,6.88,4.28,2022
5853,1.0,Very Good,F,SI1,58.1,63.0,6.45,6.36,3.72,2022
5854,1.03,Premium,F,SI2,60.7,60.0,6.52,6.47,3.94,2022
5855,1.05,Ideal,H,SI2,61.9,56.0,6.56,6.49,4.04,2022
5856,1.03,Premium,F,SI2,62.4,59.0,6.45,6.38,4.0,2022
5857,1.0,Good,F,SI1,63.8,58.0,6.28,6.22,3.99,2022
5858,1.0,Premium,F,SI1,62.2,58.0,6.39,6.35,3.96,2022
5859,0.91,Very Good,D,SI1,63.1,59.0,6.14,6.1,3.86,2022
5860,1.03,Premium,F,SI2,61.6,58.0,6.46,6.43,3.97,2022
5861,1.0,Premium,F,SI1,62.9,57.0,6.37,6.32,3.99,2022
5862,0.92,Ideal,H,SI1,61.6,56.0,6.21,6.25,3.84,2022
5863,0.9,Very Good,H,VS2,62.3,59.0,6.13,6.17,3.83,2022
5864,1.01,Very Good,J,VS1,59.5,59.0,6.54,6.6,3.91,2022
5865,1.01,Very Good,D,SI2,62.2,60.0,6.4,6.43,3.99,2022
5866,1.01,Very Good,G,SI1,62.9,61.0,6.36,6.4,4.01,2022
5867,1.01,Good,G,SI1,63.6,57.0,6.33,6.37,4.04,2022
5868,1.01,Very Good,G,SI1,62.9,54.0,6.41,6.47,4.05,2022
5869,1.01,Premium,G,SI1,62.5,60.0,6.34,6.39,3.98,2022
5870,1.01,Very Good,D,SI2,60.3,57.0,6.51,6.56,3.94,2022
5871,1.01,Good,G,SI1,63.9,57.0,6.3,6.37,4.05,2022
5872,1.01,Ideal,G,SI1,61.8,57.0,6.41,6.46,3.98,2022
5873,1.01,Very Good,D,SI2,62.8,59.0,6.34,6.44,4.01,2022
5874,1.2,Very Good,J,VS2,62.5,57.0,6.72,6.79,4.22,2022
5875,1.02,Ideal,E,SI1,61.1,56.0,6.45,6.51,3.96,2022
5876,1.14,Ideal,F,SI2,61.7,56.0,6.71,6.67,4.13,2022
5877,1.0,Good,H,SI2,57.9,62.0,6.53,6.49,3.77,2022
5878,1.0,Premium,I,SI1,59.6,58.0,6.55,6.5,3.89,2022
5879,1.0,Good,H,VVS2,59.5,64.0,6.44,6.41,3.82,2022
5880,0.9,Very Good,H,VS1,62.3,59.0,6.12,6.17,3.83,2022
5881,0.83,Ideal,F,VS1,62.3,56.4,5.97,6.02,3.73,2022
5882,1.0,Ideal,D,SI1,63.0,56.0,6.33,6.28,3.97,2022
5883,0.9,Ideal,F,SI2,61.8,56.0,6.18,6.21,3.83,2022
5884,0.9,Ideal,F,SI2,61.9,57.0,6.13,6.18,3.81,2022
5885,0.9,Ideal,F,SI2,62.4,55.0,6.17,6.2,3.86,2022
5886,1.02,Good,F,SI1,63.5,57.0,6.35,6.4,4.05,2022
5887,1.0,Very Good,D,SI2,62.8,58.0,6.29,6.39,3.98,2022
5888,1.2,Ideal,I,SI2,63.0,57.0,6.77,6.7,4.24,2022
5889,1.07,Premium,F,SI1,61.7,58.0,6.58,6.62,4.07,2022
5890,0.9,Very Good,E,VS2,63.8,55.0,6.11,6.18,3.92,2022
5891,1.09,Very Good,D,SI2,62.2,59.0,6.46,6.49,4.03,2022
5892,1.38,Good,J,SI2,63.7,58.0,7.06,7.01,4.48,2022
5893,1.05,Premium,G,SI2,62.6,62.0,6.49,6.45,4.05,2022
5894,0.92,Premium,E,VS2,61.2,62.0,6.27,6.22,3.82,2022
5895,0.9,Very Good,G,VS2,62.5,57.0,6.12,6.14,3.83,2022
5896,1.51,Very Good,J,I1,63.3,57.0,7.31,7.23,4.6,2022
5897,1.11,Ideal,H,SI2,60.9,56.0,6.71,6.73,4.09,2022
5898,0.9,Good,D,VS2,63.5,61.0,6.09,6.16,3.89,2022
5899,0.9,Very Good,G,VVS1,62.3,58.0,6.14,6.21,3.85,2022
5900,1.04,Premium,I,SI1,60.7,59.0,6.6,6.57,4.0,2022
5901,1.07,Ideal,J,VS2,61.6,56.3,6.55,6.59,4.04,2022
5902,1.06,Ideal,H,SI1,60.8,54.0,6.64,6.61,4.03,2022
5903,1.2,Very Good,H,SI1,61.4,63.0,6.76,6.72,4.14,2022
5904,1.03,Premium,H,SI1,61.1,59.0,6.56,6.5,3.99,2022
5905,1.03,Ideal,H,SI1,62.3,56.0,6.48,6.45,4.03,2022
5906,1.02,Very Good,H,SI1,62.6,59.0,6.38,6.43,4.01,2022
5907,1.02,Premium,H,SI1,61.9,58.0,6.43,6.47,3.99,2022
5908,1.05,Ideal,H,SI2,61.8,58.0,6.52,6.55,4.04,2022
5909,1.07,Ideal,H,SI2,61.0,55.0,6.62,6.65,4.05,2022
5910,1.01,Ideal,E,SI2,59.6,60.0,6.52,6.6,3.91,2022
5911,1.02,Very Good,H,VS2,60.0,63.0,6.54,6.49,3.91,2022
5912,1.01,Premium,G,SI1,62.8,59.0,6.43,6.34,4.01,2022
5913,1.01,Good,D,SI2,64.5,58.0,6.18,6.26,4.01,2022
5914,1.11,Good,H,SI1,64.2,58.0,6.53,6.47,4.17,2022
5915,1.1,Very Good,E,SI2,60.1,62.0,6.65,6.69,4.01,2022
5916,1.05,Good,H,SI1,63.1,60.0,6.42,6.49,4.07,2022
5917,1.05,Ideal,G,SI2,61.8,57.0,6.51,6.57,4.04,2022
5918,1.07,Very Good,E,SI2,60.5,61.0,6.55,6.61,3.98,2022
5919,0.91,Ideal,I,VVS1,60.0,57.0,6.29,6.31,3.83,2022
5920,1.01,Good,H,SI1,63.7,56.0,6.34,6.33,4.08,2022
5921,1.13,Premium,I,VS2,62.0,58.0,6.64,6.69,4.13,2022
5922,0.93,Good,E,SI1,63.1,57.0,6.17,6.19,3.9,2022
5923,0.91,Good,E,SI1,63.6,57.0,6.13,6.1,3.89,2022
5924,1.03,Ideal,H,SI2,61.6,54.0,6.51,6.55,4.02,2022
5925,1.09,Ideal,J,SI1,60.7,58.0,6.64,6.68,4.04,2022
5926,1.16,Fair,G,SI1,65.9,55.0,6.54,6.51,4.3,2022
5927,0.9,Premium,D,SI1,62.2,60.0,6.14,6.08,3.8,2022
5928,1.01,Ideal,I,SI1,60.2,59.0,6.49,6.54,3.92,2022
5929,0.9,Premium,D,SI1,62.8,59.0,6.18,6.14,3.87,2022
5930,0.9,Ideal,D,SI1,62.7,56.0,6.18,6.16,3.87,2022
5931,0.9,Premium,D,SI1,62.4,61.0,6.17,6.13,3.84,2022
5932,1.11,Premium,F,SI2,58.9,60.0,6.8,6.74,3.99,2022
5933,1.07,Ideal,E,SI2,62.4,57.0,6.52,6.55,4.08,2022
5934,1.04,Ideal,E,SI1,62.0,57.0,6.5,6.47,4.02,2022
5935,1.14,Very Good,H,SI2,63.3,57.0,6.6,6.63,4.19,2022
5936,1.01,Premium,F,SI2,62.9,59.0,6.32,6.27,3.96,2022
5937,0.9,Very Good,F,VS2,62.2,57.0,6.17,6.24,3.86,2022
5938,0.9,Very Good,H,VVS2,61.8,60.0,6.11,6.15,3.79,2022
5939,1.02,Very Good,H,SI1,63.0,58.0,6.34,6.4,4.01,2022
5940,1.01,Very Good,H,SI1,60.2,60.0,6.5,6.48,3.91,2022
5941,1.01,Ideal,J,VS2,61.3,56.0,6.46,6.5,3.97,2022
5942,1.01,Ideal,J,VS2,61.1,56.0,6.49,6.51,3.97,2022
5943,0.83,Ideal,F,VS1,61.2,54.0,6.07,6.11,3.73,2022
5944,1.17,Ideal,J,SI1,62.1,57.0,6.74,6.81,4.21,2022
5945,1.01,Very Good,F,SI1,63.0,58.0,6.31,6.39,4.0,2022
5946,1.01,Good,F,SI1,62.4,59.0,6.3,6.42,3.97,2022
5947,1.01,Good,E,SI1,63.2,59.0,6.25,6.28,3.96,2022
5948,1.01,Very Good,H,SI1,58.5,56.0,6.6,6.69,3.89,2022
5949,0.8,Ideal,D,VS1,62.4,56.0,5.94,5.98,3.72,2022
5950,1.17,Ideal,J,VS2,62.1,56.0,6.8,6.75,4.21,2022
5951,1.0,Very Good,E,SI2,61.4,61.0,6.36,6.41,3.92,2022
5952,1.12,Premium,H,SI2,61.9,58.0,6.66,6.74,4.15,2022
5953,1.0,Very Good,F,SI1,60.3,61.0,6.38,6.43,3.86,2022
5954,1.0,Premium,E,SI2,61.2,60.0,6.42,6.45,3.94,2022
5955,1.1,Premium,I,SI1,62.0,59.0,6.59,6.54,4.07,2022
5956,1.1,Ideal,H,SI2,62.0,55.0,6.62,6.6,4.1,2022
5957,1.1,Premium,H,SI2,62.2,58.0,6.69,6.6,4.13,2022
5958,1.1,Ideal,H,SI2,62.6,56.0,6.65,6.57,4.14,2022
5959,0.92,Very Good,F,SI1,62.2,55.0,6.19,6.26,3.87,2022
5960,1.01,Very Good,H,SI1,62.6,61.0,6.36,6.39,3.99,2022
5961,1.06,Ideal,H,SI2,60.6,55.0,6.62,6.65,4.02,2022
5962,1.1,Premium,E,SI2,60.9,60.0,6.66,6.61,4.04,2022
5963,1.0,Ideal,E,SI2,62.0,57.0,6.37,6.41,3.96,2022
5964,0.91,Ideal,E,SI1,61.9,55.0,6.18,6.22,3.84,2022
5965,0.98,Premium,H,VS2,59.9,60.0,6.45,6.38,3.84,2022
5966,1.0,Good,I,VS1,59.6,61.0,6.48,6.53,3.88,2022
5967,1.01,Very Good,I,VS2,61.9,61.0,6.36,6.41,3.95,2022
5968,1.0,Very Good,G,SI1,63.3,60.0,6.33,6.24,3.98,2022
5969,1.0,Premium,D,SI2,58.3,61.0,6.59,6.54,3.83,2022
5970,1.0,Premium,D,SI2,61.6,58.0,6.45,6.37,3.95,2022
5971,1.0,Premium,D,SI2,59.5,62.0,6.52,6.49,3.87,2022
5972,1.08,Premium,G,SI2,62.2,56.0,6.62,6.54,4.09,2022
5973,1.08,Premium,G,SI2,62.9,59.0,6.57,6.53,4.12,2022
5974,1.08,Ideal,G,SI2,61.9,57.0,6.57,6.55,4.06,2022
5975,1.0,Very Good,D,SI2,63.2,57.0,6.24,6.32,3.97,2022
5976,0.82,Ideal,D,VS2,60.8,57.0,6.02,6.05,3.67,2022
5977,0.82,Ideal,D,VS2,61.9,56.0,5.98,6.03,3.72,2022
5978,0.95,Premium,E,SI1,62.8,59.0,6.25,6.21,3.91,2022
5979,1.04,Ideal,H,SI1,60.3,57.0,6.55,6.58,3.96,2022
5980,0.94,Premium,H,VS2,60.1,59.0,6.32,6.35,3.81,2022
5981,1.0,Very Good,E,SI2,63.0,54.0,6.33,6.37,4.0,2022
5982,1.06,Ideal,I,SI1,61.2,56.0,6.64,6.6,4.05,2022
5983,1.06,Ideal,I,SI1,61.2,56.0,6.64,6.6,4.05,2022
5984,1.0,Fair,G,VS1,63.1,63.0,6.38,6.29,4.0,2022
5985,1.04,Ideal,F,SI2,61.8,56.0,6.53,6.49,4.02,2022
5986,0.56,Ideal,D,IF,60.8,58.0,5.35,5.31,3.24,2022
5987,1.01,Premium,F,SI1,63.0,58.0,6.33,6.29,3.98,2022
5988,1.01,Good,F,SI1,57.4,57.0,6.52,6.48,3.73,2022
5989,1.02,Very Good,G,SI1,63.0,55.0,6.4,6.45,4.05,2022
5990,1.02,Very Good,D,SI2,61.5,56.0,6.47,6.51,3.99,2022
5991,1.02,Very Good,G,SI1,62.0,57.0,6.41,6.5,4.0,2022
5992,1.02,Very Good,D,SI2,60.3,58.0,6.48,6.52,3.92,2022
5993,1.0,Good,J,VVS1,63.5,59.0,6.29,6.34,4.01,2022
5994,1.08,Ideal,J,SI1,62.1,55.0,6.54,6.57,4.07,2022
5995,1.06,Very Good,F,SI2,62.6,60.0,6.54,6.44,4.06,2022
5996,1.01,Fair,F,SI1,65.5,57.0,6.12,6.22,4.04,2022
5997,0.93,Ideal,H,SI1,62.4,55.0,6.2,6.24,3.88,2022
5998,1.2,Good,J,VS2,64.3,56.0,6.65,6.57,4.25,2022
5999,0.9,Premium,G,VS2,61.7,57.0,6.21,6.11,3.8,2022
6000,1.0,Good,H,VS2,63.6,61.0,6.21,6.25,3.96,2022
6001,0.92,Premium,H,VVS2,62.5,58.0,6.25,6.16,3.88,2022
6002,1.15,Premium,I,SI1,62.2,56.0,6.77,6.67,4.18,2022
6003,1.21,Very Good,G,SI1,63.4,60.0,6.68,6.63,4.22,2022
6004,0.92,Premium,E,SI1,61.7,57.0,6.32,6.2,3.86,2022
6005,1.01,Ideal,I,SI1,61.9,59.0,6.38,6.42,3.96,2022
6006,1.01,Premium,H,SI2,60.3,60.0,6.49,6.47,3.91,2022
6007,0.97,Premium,D,SI1,62.0,60.0,6.29,6.25,3.89,2022
6008,1.09,Premium,H,SI2,62.5,58.0,6.61,6.55,4.11,2022
6009,1.09,Very Good,I,SI1,63.2,59.0,6.54,6.5,4.12,2022
6010,1.17,Good,D,SI2,57.8,62.0,6.97,6.91,4.01,2022
6011,1.18,Premium,I,SI2,61.7,58.0,6.79,6.75,4.18,2022
6012,1.1,Very Good,I,SI1,61.2,61.0,6.61,6.66,4.01,2022
6013,1.1,Premium,D,SI2,62.4,58.0,6.57,6.6,4.11,2022
6014,1.09,Very Good,I,SI1,61.4,58.0,6.61,6.69,4.08,2022
6015,1.01,Good,G,SI1,62.8,58.0,6.36,6.29,3.97,2022
6016,1.12,Premium,H,SI2,62.0,57.0,6.68,6.61,4.12,2022
6017,1.01,Premium,H,SI1,62.5,59.0,6.44,6.33,3.99,2022
6018,0.91,Ideal,F,SI2,62.0,57.0,6.15,6.23,3.84,2022
6019,0.91,Ideal,F,SI2,61.7,56.0,6.21,6.24,3.84,2022
6020,1.01,Premium,H,SI1,62.8,58.0,6.38,6.36,4.0,2022
6021,1.01,Premium,H,SI1,61.2,58.0,6.47,6.43,3.95,2022
6022,1.01,Premium,H,SI1,63.0,60.0,6.36,6.33,4.0,2022
6023,1.01,Very Good,H,SI1,63.3,58.0,6.4,6.37,4.04,2022
6024,1.01,Ideal,H,SI1,62.4,53.0,6.47,6.42,4.02,2022
6025,1.01,Premium,H,SI1,61.8,60.0,6.48,6.43,3.99,2022
6026,0.9,Very Good,E,VS2,63.0,57.0,6.07,6.15,3.85,2022
